,name,width,height,mean_hue,mean_saturation,mean_value,mean_entropy,edge_sum
0,0,67,98,0.2812769116215009,0.530814723172375,0.23166759241009838,3.8954951568921876,0.5832361158426509
1,1,99,99,0.27352845148313704,0.4054241507934991,0.7223056470828307,4.257137658244238,0.6625956698448788
2,100,147,100,0.6001454429406564,0.3259968447506139,0.7118396692010137,3.021263220129761,0.2708501719579111
3,101,147,100,0.5076677725581586,0.68599282806094,0.5526784046952113,3.737993236123607,0.20117143531633094
4,102,147,100,0.1542163628723934,0.7280858694654426,0.57421635320795,4.672341898577701,0.4984895778679488
5,103,147,100,0.5166143277609694,0.5805195171252104,0.768017340269441,2.918583467892493,0.36958812755925863
6,104,147,100,0.3533310296752853,0.5466465984995965,0.1920096038415366,4.307179170482253,0.5801724049068504
7,105,147,100,0.47679035728612373,0.3194368522404129,0.6585202080832332,4.456061397132978,0.4028314768909009
8,106,147,100,0.1514049606074557,0.12564422561042482,0.9173226623982926,1.8548688567103504,0.2246113858218899
9,107,147,100,0.2022407506548608,0.16806889961121463,0.6547402961184473,4.830860638862502,0.5859517246412675
10,108,147,100,0.3605575250159658,0.2820650707194707,0.5684337735094037,4.361719690847662,0.5193517288255759
11,109,147,100,0.47568056284965815,0.5600947041453734,0.6780714952647726,4.38727154467993,0.5862586790811227
12,11,99,99,0.4607767727207742,0.47006553464625306,0.711632066355774,4.042030661509593,0.6142985632865371
13,110,147,100,0.5886449226616007,0.17750527443595543,0.7125604908630119,2.9856496319488692,0.25901069703282353
14,111,147,100,0.5662038589352608,0.47350821161445816,0.6780461517940509,3.772569180494642,0.37157890465639243
15,112,147,100,0.5339819834543248,0.21583045346079666,0.5562558356676004,4.034446457967026,0.4948594614745951
16,113,147,100,0.2316815602814477,0.5437714378905476,0.2704761904761905,4.142505817258226,0.2994896128295557
17,114,147,100,0.5222495189401464,0.4181802300661542,0.5878623449379752,3.880333711602017,0.43368356587098955
18,115,147,100,0.5017235739697096,0.4888011560763469,0.5287672402294251,3.9534788367010565,0.3601006997352057
19,116,147,100,0.5235273246360237,0.5353310153296241,0.42518767507002797,4.830406554653774,0.9385794531737588
20,117,147,100,0.14746620349798956,0.14588061782330983,0.849185274109644,3.6142961248608234,0.4414060383244683
21,118,147,100,0.3974094871131525,0.46818621204427324,0.6541659330398826,4.364411311691484,0.45464112288050157
22,119,147,100,0.37316473567912545,0.10187403252843877,0.7897705748966253,4.47816774508945,0.7142638321895538
23,12,99,99,0.23873907898756797,0.331419581540321,0.568295752134136,5.282714742834454,0.7213666704940815
24,120,147,100,0.3924150967802896,0.43690285019843755,0.26809016940109376,3.923283265114587,0.4681130515170802
25,121,147,100,0.5634382472980504,0.8048959870230794,0.8134120314792584,2.965976307460939,0.1982296935490987
26,122,147,100,0.46589124713121255,0.45601515612842625,0.546204881952781,4.4216340778831835,0.4121753875403089
27,123,147,100,0.21267649666130564,0.6512118190519844,0.5147461651327198,5.0685571934317455,0.4704611014814377
28,124,147,100,0.3872761460853866,0.3110934604301725,0.7559861277844472,4.793111058117781,0.43652220499614064
29,125,147,100,0.4460458552870361,0.06962256062504643,0.7193685474189676,3.100364228113315,0.3359854017260953
30,126,147,100,0.507822056778953,0.5463209711581949,0.5572535680939041,3.065014414281137,0.34137425770303215
31,127,147,100,0.21992310314018582,0.43689043300504127,0.5193629451780711,5.15423787309635,0.6459393064571275
32,128,147,100,0.5685893354399849,0.7065007234949168,0.6022545018007203,2.377961291478323,0.2760653358000806
33,129,147,100,0.5222956972920786,0.5274656288241001,0.7328990262771775,2.87212975859981,0.29225323439858836
34,13,99,99,0.5849989377530037,0.37916437289116095,0.36239879484086257,4.357315988292742,0.39324008368539626
35,130,147,100,0.5766550104698175,0.334154827493997,0.6948486061091101,3.4465330463595296,0.4148624841567033
36,131,147,100,0.24539599403942983,0.255252215543132,0.46559397092170207,4.800289038401192,0.4572553740266564
37,132,147,100,0.3901656487419915,0.3306931992389338,0.4724945978391356,4.81153139466784,0.44777932394821285
38,133,147,100,0.3927114197177304,0.3416128019518804,0.35433106575963713,4.970677933448679,0.4086015118628419
39,134,147,100,0.3784708872633335,0.4790829923525402,0.7036345204748568,3.7452839150029824,0.4359768191317326
40,135,147,100,0.3190616463147018,0.25841603936774543,0.6684271041750033,4.487077799132589,0.5024332097499803
41,136,147,100,0.3128830782816468,0.47410235537787465,0.5109870614912632,4.186259759941691,0.2957264528098149
42,137,147,100,0.5043888158170041,0.12713612010734282,0.9378634120314793,2.827676661841266,0.3015048516852627
43,138,147,100,0.39476321009415977,0.6055971410497565,0.6390806989462451,5.040108820579449,0.6818989858957698
44,139,147,100,0.2819351331472727,0.5572081743964099,0.6327333600106709,4.981435980924845,0.781097228682406
45,14,67,98,0.14369233314612032,0.4425097657709837,0.677205210442386,4.9746922623273235,0.7001471355134121
